hop_loss,hop_snt,hop_last,hop_avg,hop_best,hop_wrst,hop_stdev,hop_number,hop_host,hop_trace
0.0,20,0.4,0.4,0.4,0.6,0.0,1,10.0.5.1,144157
0.0,20,68.6,20.2,3.0,68.6,17.3,2,10.2.50.3,144157
0.0,20,30.2,22.5,4.2,64.7,14.3,3,10.2.10.83, 144157
0.0,20,15.5,23.4,6.5,55.9,14.1,4,10.2.10.18,144157
0.0,20,45.3,20.6,7.7,45.3,10.1,5,10.2.10.73,144157
0.0,20,30.5,32.3,7.3,68.2,20.5,6,137.108.124.202.static.snap.net.nz,144157
0.0,20,36.6,35.5,12.3,73.9,14.6,7,peer-fx.wlg.snap.net.nz,144157
0.0,20,56.4,47.4,11.1,164.7,35.8,8,TenGigabitEthernet0-2-0-904.wnmur-rt1.fx.net.nz,144157
0.0,20,58.4,33.3,10.9,136.5,29.3,9,TenGigabitEthernet0-1-0-264.wntnz-rt1.fx.net.nz,144157
75.0,20,42.0,41.6,17.9,84.2,25.4,10,131.203.253.194,144157
100.0,20,0.0,0.0,0.0,0.0,0.0,11,???,144157